,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
47,106.37846,84.50109,-2.3624496,18.438786,3.0384426,9.726484,4.272727,4.533668,2.4351692,2.3955421,1.3717878,2.358221,1.7619799,1
48,129.57437,75.05199,-9.748045,13.806074,-2.7054987,6.955862,-2.2279928,1.5479676,-0.36261773,-0.12842566,1.8115623,2.673243,0.46906483,1
49,119.20816,62.618797,-9.395437,24.151659,0.7766437,8.871806,2.2473817,4.0779753,2.6626606,3.0357418,2.7454102,3.313345,4.295002,1
50,99.13652,88.75284,-0.9028015,21.532812,4.366868,13.262039,4.610381,6.352442,2.7551033,3.6436496,1.4653944,2.4955773,0.8186576,1
51,111.3387,87.40442,-15.754082,17.794132,2.3119414,7.6087456,1.215219,2.7924988,1.9612224,1.2602634,-0.0554422,0.034026366,-0.45200008,1
52,109.8797,82.665596,-3.091744,18.042248,1.466758,12.895027,2.7342567,6.7675247,2.6931787,2.3864276,2.7283554,2.832295,4.130556,1
53,134.22751,68.383,-7.9112215,14.348316,-3.4467735,10.651519,0.92503345,4.295683,0.6364128,3.3407245,3.6318378,2.5458162,3.8759198,1
54,105.71011,76.2,-0.359907,17.095009,-0.26627415,12.58593,3.0081267,5.485485,2.7861552,4.223495,0.5009498,3.4830933,4.8444486,1
55,109.79759,80.9886,-7.8451433,19.298624,0.970991,6.510995,-0.060647305,2.7802057,-1.2577561,0.44593468,-1.987891,-1.5035838,-2.6208844,1
56,97.75846,94.485504,-8.050583,15.260799,0.14309447,8.815527,3.196749,4.7347383,1.5914087,3.6722784,1.6001706,1.8149304,2.0150146,1
57,124.34424,65.123344,2.2451005,21.18939,-0.97694826,12.512609,-0.5194441,3.0089853,1.9052014,3.4274812,1.7622013,1.3893471,1.5121678,1
58,98.141846,81.81257,-5.9925795,15.169529,-1.291917,10.347021,3.3370495,6.5206842,4.6379337,5.5797834,4.936056,3.6030095,3.5936108,1
59,105.73193,87.036575,-6.850321,20.848106,3.1859365,9.541643,1.5962981,5.2675304,3.3288784,4.3278437,2.8926435,2.7772064,2.1791592,1
60,118.01683,88.98804,-7.8798604,22.544323,-0.07626623,9.016455,3.355946,2.842461,2.8507338,3.4145179,2.2664847,2.8677158,2.7404125,1
61,131.23882,68.87955,-6.323255,9.020654,-3.131277,4.2851562,0.6637057,3.0704496,-0.10577972,1.2215444,0.5946045,2.5243335,2.9331183,1
62,97.44939,110.613785,-7.1811037,16.75008,1.5947284,10.964724,2.511908,3.599712,1.5343494,2.1047668,0.40421116,1.5122373,1.1437945,1
63,122.911606,81.235466,-1.0433464,18.13578,-1.4193976,10.2398815,-0.7198679,3.25348,-2.2824345,-0.118142754,0.6903846,1.1235472,0.20126891,1
64,102.07028,81.48252,-5.8453345,20.465359,-1.7501446,9.686956,5.511638,5.4994154,3.9224114,3.6128225,3.005598,3.5562656,2.149805,1
65,89.60257,91.29872,5.6595125,20.509323,2.9475455,11.606787,2.5899482,7.8931675,3.4926333,4.5986996,1.9488955,3.3371334,1.750107,1
66,123.43313,71.71733,-5.375307,15.996477,-1.0056772,14.087661,4.044627,9.916559,7.047917,6.179942,4.5414295,2.3041646,1.8745085,1
67,128.31679,79.49917,-6.7656355,10.256117,-0.49290875,9.676285,0.065734,5.2615943,0.25822303,2.919705,2.3884907,1.883393,2.0156574,1
68,94.84565,99.50999,0.67203677,20.500423,0.5253664,13.120037,1.9475868,3.8564441,1.2217332,1.2534745,0.115591526,0.7496869,-1.1151923,1
69,114.652664,73.10564,-6.4505444,21.46167,1.8014333,8.87432,2.4909914,3.3319435,1.6926358,1.1421435,-8.593127e-05,1.3181765,1.0615271,1
70,99.40232,87.30803,4.3295364,25.046497,-0.74704766,9.462734,-1.074862,1.4114811,-1.2988302,-2.3899217,-0.21971323,-1.356088,-1.1165081,1
71,123.849106,81.89874,-3.7344704,14.421532,-1.2501619,8.821325,-2.2033024,3.553935,-0.6871483,1.3675203,0.45712653,0.7688453,-1.5293977,1
72,98.78546,91.3304,5.99535,21.51551,-2.4629002,10.493101,2.0986629,4.1046677,2.7640529,3.937005,3.6405704,3.7998753,3.8103912,1
73,126.95695,64.247375,-9.525911,14.464189,-4.459772,10.309719,2.9825053,6.2452955,1.7128711,3.014935,3.1817796,-0.21964076,-0.11075282,1
74,103.592,82.82886,-10.258562,14.844873,-2.444209,4.74398,-2.3479218,-0.4230113,-1.0162244,0.44265947,0.017162975,1.009324,1.1778743,1
75,135.45609,65.85248,-11.675989,16.85969,0.9424763,8.923295,0.41030085,3.9793935,-0.06845628,1.4127018,0.06915049,0.7273138,0.3015352,1
76,84.69122,70.81515,5.5966043,22.822563,1.6722641,11.4050045,-0.8439497,4.399965,1.5577741,2.8220458,1.1254406,3.3043303,2.0041947,1
77,115.09882,84.09136,-11.571871,13.230743,-1.5019366,6.324174,-0.9224635,3.0171099,1.8499206,3.3349414,3.5109222,3.171568,0.30010015,1
78,107.28545,77.51445,3.8432102,22.231655,1.7329216,12.095098,2.1803336,5.578452,4.6438828,4.888009,1.7932134,3.1520689,1.937746,1
79,110.17421,69.99544,-6.162755,18.322212,-0.4745391,8.230734,0.9829879,3.2264721,0.6707867,2.1759763,1.0924864,2.62928,2.5361724,1
80,122.269226,83.64041,-4.95286,14.595123,-3.0227427,8.594948,2.4743114,6.508714,1.1794658,3.4339588,0.69331884,2.3448353,1.7075222,1
81,126.719376,63.570686,-20.541763,12.790035,0.85500276,10.233963,1.4405649,4.677964,1.4188573,3.1474767,2.4805727,1.4891305,0.72664464,1
82,122.85773,75.07883,-8.07565,14.580715,-0.38493264,12.768338,4.461072,9.369958,5.5112257,7.812834,4.437478,3.3855844,3.8559153,1
83,93.98274,87.57939,-1.5904219,29.193634,8.087024,10.162464,4.887952,7.0758924,4.7037687,3.3478723,3.5330644,3.7873282,2.571277,1
84,127.3967,71.00581,-8.702061,16.859966,-0.47760656,10.009466,3.6735277,7.3651543,3.5320697,4.4141736,1.7974617,3.5177875,2.4621754,1
85,123.869446,76.227036,-9.034489,14.290941,-1.2199233,7.0064306,-0.8236427,2.3768141,1.2630937,2.7245169,1.8285068,1.1810588,0.38262275,1
86,102.97447,90.15046,-0.67093486,19.707508,-2.8076186,7.773899,0.33021134,2.9829667,0.08490889,0.32700747,-0.082637325,1.0929598,1.3783408,1
87,117.67704,77.61147,-9.883535,18.116817,3.0742626,9.822779,1.5056169,3.25626,0.23794362,1.2532983,0.81978524,2.7840605,1.6041366,1
88,102.76578,71.78322,-7.6169596,21.373154,1.893011,15.230835,4.7822075,7.65944,5.373664,4.3566895,4.6628537,3.2242475,1.8635924,1
89,127.49319,73.335434,-7.4018335,14.44034,0.6270837,8.817508,0.15506642,3.0167584,-0.10860108,1.7166506,-1.1995313,0.5072186,-0.5952933,1
90,109.32388,61.180847,1.91735,15.197784,-0.24292785,14.332371,0.54047406,7.7344656,3.689022,3.87532,4.749771,2.7960324,3.4947393,1
91,129.77695,68.68573,-4.547285,15.863201,0.91936374,11.791985,3.042191,6.504653,1.7492433,5.664715,4.809346,3.547429,1.5231838,1
92,106.558945,80.782776,-11.453663,23.633842,9.072247,15.072073,5.6973696,5.833411,3.663345,3.9068725,3.1240253,2.0348928,1.8962302,1
93,117.87198,73.50192,-0.38930157,19.181343,0.8675042,9.69078,2.345488,7.0291953,2.5169227,3.312037,3.3913574,3.2751818,2.2907443,1
94,119.47807,82.093796,-2.2675457,18.382528,-1.6557039,6.874305,-0.39266625,3.0702128,-0.2900376,1.6987966,0.15880422,1.3347952,-0.052169632,1
95,92.026566,75.8923,0.35911378,23.806564,0.3127151,11.177173,3.4615111,7.0309157,6.0425973,5.542865,4.1144066,3.7195153,2.4716616,1
96,117.9694,77.13187,-6.1611304,19.760342,1.8845239,11.667505,1.7208741,4.5805116,0.69152987,1.5427055,0.7434168,1.4996976,1.7252909,1
97,89.600586,92.109436,0.66255903,21.584187,2.1721005,9.861681,1.9979341,5.495343,1.2786016,3.1518545,1.3947072,1.8064759,1.5603042,1
98,124.27795,72.10382,-10.084986,20.826252,4.4849215,10.248831,2.4236045,6.309752,4.408816,4.438012,2.9585543,3.5016325,2.9381046,1
99,106.00235,74.31453,0.2192205,25.485268,4.766096,14.274557,3.7900884,5.4799557,1.5891123,3.040957,0.85529673,2.1669836,1.5963409,1
100,95.46446,92.81906,0.5867499,24.826935,1.3824884,10.882286,1.1462259,5.7246785,2.7966394,1.8283135,2.2241936,0.92860574,2.2952466,1
101,97.61609,79.499985,-4.239212,20.730934,1.9175347,9.025773,1.3912178,4.6120715,1.3954451,1.8124411,1.0866195,2.2181416,1.8513314,1
102,100.87424,87.569016,-11.8660965,14.891361,0.7558568,11.840984,6.3314905,9.328022,2.8344455,0.40996197,-0.9698725,1.9769447,4.677597,1
103,102.578064,82.82265,-6.2361126,24.328709,3.3961625,13.865198,5.8845005,8.065176,4.9567337,4.6136484,2.574285,2.4678006,3.0084152,1
104,112.92575,70.6687,-0.5071728,17.093475,1.6088345,5.963139,1.9427626,3.8329191,1.4709911,1.7627406,0.94006366,2.87084,1.8760345,1
105,126.98283,70.384834,-6.17982,16.891865,-1.959017,12.704218,4.241539,7.4536486,3.128625,5.4654875,5.756086,4.34172,4.399276,1
106,116.098946,68.191795,-6.3433027,20.343512,3.731495,11.290664,2.427097,3.8344903,3.276153,4.9273467,2.4223738,0.64164424,1.4468076,1
107,98.313255,88.39426,-5.485223,21.475563,5.3808537,11.474068,6.081379,7.4060216,3.367941,3.4626832,0.642054,2.377791,3.528678,1
108,107.88808,77.85672,0.18457386,17.56183,-2.67382,9.824442,-1.0977808,5.029559,0.96133,2.7635615,1.7026522,2.2856474,2.2351604,1
109,130.04147,72.464676,-5.412453,9.860092,-1.4369625,9.935251,-0.9931785,7.85633,0.6677244,1.3874207,-0.74737287,0.68432724,2.265421,1
